Communes;Codes_Insee;Numero_departement;NB_Pers_par_Foyer_Alloc;NB_Pers_couv_RSA;RSA_SOCLE_non_Majore_Pers_couv;RSA_SOCLE_Majore_Pers_couv
RESIDENCE A L'ETRANGER;99999;;16500;1051;793;258
COMMUNES INCONNUES INSEE;XXXXX;;15133;947;788;159
L'ABERGEMENT-CLEMENCIAT;1001;1;327;6;;
L'ABERGEMENT-DE-VAREY;1002;1;131;;;
AMBERIEU-EN-BUGEY;1004;1;8121;789;656;133
AMBERIEUX-EN-DOMBES;1005;1;783;8;;
AMBLEON;1006;1;23;;;
AMBRONAY;1007;1;1339;73;59;14
AMBUTRIX;1008;1;309;7;;
ANDERT-ET-CONDON;1009;1;109;7;;
ANGLEFORT;1010;1;485;11;;
APREMONT;1011;1;165;;;
ARANC;1012;1;124;;;
ARANDAS;1013;1;33;;;
ARBENT;1014;1;1572;78;69;9
ARBOYS EN BUGEY;1015;1;238;10;;
ARBIGNY;1016;1;256;8;;
ARGIS;1017;1;179;15;7;8
ARMIX;1019;1;;;;
ARS-SUR-FORMANS;1021;1;662;16;;
ARTEMARE;1022;1;536;33;;
ASNIERES-SUR-SAONE;1023;1;37;7;;
ATTIGNAT;1024;1;1550;25;;
BAGE-DOMMARTIN;1025;1;1501;40;21;19
BAGE-LE-CHATEL;1026;1;414;20;14;6
BALAN;1027;1;1022;21;;
BANEINS;1028;1;297;;;
BEAUPONT;1029;1;349;12;;
BEAUREGARD;1030;1;504;24;;
BELLIGNAT;1031;1;1946;142;123;19
BELIGNEUX;1032;1;1835;63;29;34
BELLEGARDE-SUR-VALSERINE;1033;1;5292;515;435;80
BELLEY;1034;1;4616;391;316;75
BELLEYDOUX;1035;1;101;;;
BELMONT-LUTHEZIEU;1036;1;222;;;
BENONCES;1037;1;110;;;
BENY;1038;1;300;;;
BEON;1039;1;198;;;
BEREZIAT;1040;1;232;10;;
BETTANT;1041;1;331;;;
BEY;1042;1;141;;;
BEYNOST;1043;1;2086;36;;
BILLIAT;1044;1;246;16;;
BIRIEUX;1045;1;166;;;
BIZIAT;1046;1;428;13;;
BLYES;1047;1;483;9;;
LA BOISSE;1049;1;1586;28;16;12
BOISSEY;1050;1;183;7;;
BOLOZON;1051;1;30;;;
BOULIGNEUX;1052;1;101;;;
BOURG-EN-BRESSE;1053;1;21643;2698;2189;509
BOURG-SAINT-CHRISTOPHE;1054;1;754;7;;
BOYEUX-SAINT-JEROME;1056;1;141;;;
BOZ;1057;1;250;;;
BREGNIER-CORDON;1058;1;394;;;
BRENAZ;1059;1;37;;;
BRENOD;1060;1;184;15;10;5
BRENS;1061;1;511;12;7;5
BRESSOLLES;1062;1;441;;;
BRION;1063;1;218;;;
BRIORD;1064;1;473;22;;
BUELLAS;1065;1;757;18;;
LA BURBANCHE;1066;1;40;;;
CEIGNES;1067;1;104;;;
CERDON;1068;1;318;18;9;9
CERTINES;1069;1;721;10;;
CESSY;1071;1;1189;66;45;21
CEYZERIAT;1072;1;1520;53;48;5
CEYZERIEU;1073;1;343;7;;
CHALAMONT;1074;1;1228;41;26;15
CHALEINS;1075;1;726;15;;
CHALEY;1076;1;27;7;;
CHALLES-LA-MONTAGNE;1077;1;76;;;
CHALLEX;1078;1;244;5;;
CHAMPAGNE-EN-VALROMEY;1079;1;370;12;7;5
CHAMPDOR-CORCELLES;1080;1;289;8;;
CHAMPFROMIER;1081;1;259;11;6;5
CHANAY;1082;1;182;10;;
CHANEINS;1083;1;440;;;
CHANOZ-CHATENAY;1084;1;395;;;
LA CHAPELLE-DU-CHATELARD;1085;1;168;;;
CHARIX;1087;1;104;;;
CHARNOZ-SUR-AIN;1088;1;419;;;
CHATEAU-GAILLARD;1089;1;1106;22;;
CHATENAY;1090;1;150;;;
CHATILLON-EN-MICHAILLE;1091;1;1376;52;;
CHATILLON-LA-PALUD;1092;1;727;15;9;6
CHATILLON-SUR-CHALARONNE;1093;1;2112;101;76;25
CHAVANNES-SUR-REYSSOUZE;1094;1;320;;;
NIVIGNE ET SURAN;1095;1;413;16;;
CHAVEYRIAT;1096;1;448;11;;
CHAVORNAY;1097;1;64;;;
CHAZEY-BONS;1098;1;530;18;;
CHAZEY-SUR-AIN;1099;1;610;18;12;6
CHEIGNIEU-LA-BALME;1100;1;25;;;
CHEVILLARD;1101;1;59;;;
CHEVROUX;1102;1;482;6;;
CHEVRY;1103;1;353;16;;
CHEZERY-FORENS;1104;1;136;9;;
CIVRIEUX;1105;1;820;22;7;15
CIZE;1106;1;59;;;
CLEYZIEU;1107;1;49;;;
COLIGNY;1108;1;499;38;;
COLLONGES;1109;1;627;27;;
COLOMIEU;1110;1;61;;;
CONAND;1111;1;68;;;
CONDAMINE;1112;1;221;;;
CONDEISSIAT;1113;1;367;8;;
CONFORT;1114;1;254;;;
CONFRANCON;1115;1;655;8;;
CONTREVOZ;1116;1;203;19;14;5
CONZIEU;1117;1;87;6;;
CORBONOD;1118;1;507;15;6;9
CORLIER;1121;1;39;;;
CORMARANCHE-EN-BUGEY;1122;1;325;5;;
CORMORANCHE-SUR-SAONE;1123;1;500;14;;
CORMOZ;1124;1;279;;;
CORVEISSIAT;1125;1;274;12;;
COURMANGOUX;1127;1;191;;;
COURTES;1128;1;118;10;;
CRANS;1129;1;115;;;
CRAS-SUR-REYSSOUZE;1130;1;743;17;;
CRESSIN-ROCHEFORT;1133;1;132;;;
CROTTET;1134;1;785;22;;
CROZET;1135;1;365;10;;
CRUZILLES-LES-MEPILLAT;1136;1;404;5;;
CULOZ;1138;1;1361;126;94;32
CURCIAT-DONGALON;1139;1;179;8;;
CURTAFOND;1140;1;300;;;
CUZIEU;1141;1;145;5;;
DAGNEUX;1142;1;2398;46;32;14
DIVONNE-LES-BAINS;1143;1;2077;138;131;7
DOMPIERRE-SUR-VEYLE;1145;1;562;18;;
DOMPIERRE-SUR-CHALARONNE;1146;1;214;;;
DOMSURE;1147;1;193;17;11;6
DORTAN;1148;1;723;45;;
DOUVRES;1149;1;466;5;;
DROM;1150;1;89;;;
DRUILLAT;1151;1;423;5;;
ECHALLON;1152;1;301;10;5;5
ECHENEVEX;1153;1;402;;;
ETREZ;1154;1;412;11;;
EVOSGES;1155;1;64;;;
FARAMANS;1156;1;388;;;
FAREINS;1157;1;1065;47;38;9
FARGES;1158;1;214;6;;
FEILLENS;1159;1;1445;22;14;8
FERNEY-VOLTAIRE;1160;1;2185;215;185;30
FLAXIEU;1162;1;39;;;
FOISSIAT;1163;1;827;33;;
FRANCHELEINS;1165;1;835;6;;
FRANS;1166;1;1076;40;27;13
GARNERANS;1167;1;257;;;
GENOUILLEUX;1169;1;310;;;
BEARD-GEOVREISSIAT;1170;1;536;13;;
GEOVREISSET;1171;1;352;11;;
GEX;1173;1;3851;256;220;36
GIRON;1174;1;60;;;
GORREVOD;1175;1;406;20;10;10
GRAND-CORENT;1177;1;53;;;
GRIEGES;1179;1;805;20;;
GRILLY;1180;1;165;;;
GROISSIAT;1181;1;558;10;;
GUEREINS;1183;1;685;;;
HAUTECOURT-ROMANECHE;1184;1;320;14;;
HAUTEVILLE-LOMPNES;1185;1;1266;106;77;29
HOSTIAZ;1186;1;;;;
HAUT VALROMEY;1187;1;170;9;;
ILLIAT;1188;1;315;;;
INJOUX-GENISSIAT;1189;1;422;10;;
INNIMOND;1190;1;22;;;
IZENAVE;1191;1;40;;;
IZERNORE;1192;1;1055;24;18;6
IZIEU;1193;1;56;;;
JASSANS-RIOTTIER;1194;1;3011;210;185;25
JASSERON;1195;1;815;15;;
JAYAT;1196;1;608;6;;
JOURNANS;1197;1;126;;;
JOYEUX;1198;1;122;;;
JUJURIEUX;1199;1;1002;73;57;16
LABALME;1200;1;98;;;
LAGNIEU;1202;1;3495;189;153;36
LAIZ;1203;1;527;9;;
LE POIZAT-LALLEYRIAT;1204;1;303;21;;
LANCRANS;1205;1;434;13;;
LANTENAY;1206;1;107;;;
LAPEYROUSE;1207;1;152;;;
LAVOURS;1208;1;41;;;
LEAZ;1209;1;258;5;;
LELEX;1210;1;57;;;
LENT;1211;1;648;17;10;7
LESCHEROUX;1212;1;327;17;;
LEYMENT;1213;1;672;21;12;9
LEYSSARD;1214;1;51;;;
LHOPITAL;1215;1;18;;;
LHUIS;1216;1;417;17;;
LOCHIEU;1218;1;38;10;;
LOMPNAS;1219;1;85;10;;
LOMPNIEU;1221;1;47;;;
LOYETTES;1224;1;1776;48;43;5
LURCY;1225;1;154;;;
MAGNIEU;1227;1;229;;;
MAILLAT;1228;1;226;;;
MALAFRETAZ;1229;1;574;;;
MANTENAY-MONTLIN;1230;1;132;;;
MANZIAT;1231;1;834;10;;
MARBOZ;1232;1;887;27;;
MARCHAMP;1233;1;37;;;
MARIGNIEU;1234;1;38;;;
MARLIEUX;1235;1;571;12;7;5
MARSONNAS;1236;1;442;11;;
MARTIGNAT;1237;1;831;39;32;7
MASSIEUX;1238;1;1305;35;21;14
MASSIGNIEU-DE-RIVES;1239;1;216;6;;
MATAFELON-GRANGES;1240;1;238;5;;
MEILLONNAS;1241;1;606;13;;
MERIGNAT;1242;1;70;5;;
MESSIMY-SUR-SAONE;1243;1;551;8;;
MEXIMIEUX;1244;1;4141;210;162;48
BOHAS-MEYRIAT-RIGNAT;1245;1;415;16;7;9
MEZERIAT;1246;1;1011;40;31;9
MIJOUX;1247;1;125;;;
MIONNAY;1248;1;912;13;;
MIRIBEL;1249;1;4863;250;210;40
MISERIEUX;1250;1;906;18;;
MOGNENEINS;1252;1;350;6;;
MONTAGNAT;1254;1;871;23;;
MONTAGNIEU;1255;1;313;8;;
MONTANGES;1257;1;100;;;
MONTCEAUX;1258;1;555;11;;
MONTCET;1259;1;342;10;;
LE MONTELLIER;1260;1;151;;;
MONTHIEUX;1261;1;266;;;
MONTLUEL;1262;1;3652;186;152;34
MONTMERLE-SUR-SAONE;1263;1;1847;48;38;10
MONTRACOL;1264;1;496;9;;
MONTREAL-LA-CLUSE;1265;1;1759;126;89;37
MONTREVEL-EN-BRESSE;1266;1;1054;63;41;22
NURIEUX-VOLOGNAT;1267;1;424;12;;
MURS-ET-GELIGNIEUX;1268;1;92;;;
NANTUA;1269;1;1747;179;143;36
NEUVILLE-LES-DAMES;1272;1;656;12;;
NEUVILLE-SUR-AIN;1273;1;841;38;32;6
LES NEYROLLES;1274;1;309;23;;
NEYRON;1275;1;1087;23;;
NIEVROZ;1276;1;764;38;31;7
NIVOLLET-MONTGRIFFON;1277;1;49;;;
ONCIEU;1279;1;27;;;
ORDONNAZ;1280;1;50;;;
ORNEX;1281;1;960;57;40;17
OUTRIAZ;1282;1;113;;;
OYONNAX;1283;1;13087;1322;1114;208
OZAN;1284;1;300;5;;
PARCIEUX;1285;1;598;20;;
PARVES ET NATTAGES;1286;1;368;5;;
PERON;1288;1;542;13;;
PERONNAS;1289;1;2561;166;103;63
PEROUGES;1290;1;481;8;;
PERREX;1291;1;328;8;;
PEYRIAT;1293;1;56;;;
PEYRIEU;1294;1;385;7;;
PEYZIEUX-SUR-SAONE;1295;1;345;;;
PIRAJOUX;1296;1;191;5;;
PIZAY;1297;1;399;;;
PLAGNE;1298;1;52;;;
LE PLANTAY;1299;1;187;;;
POLLIAT;1301;1;1145;36;23;13
POLLIEU;1302;1;58;;;
PONCIN;1303;1;816;77;57;20
PONT-D'AIN;1304;1;1466;139;115;24
PONT-DE-VAUX;1305;1;946;84;66;18
PONT-DE-VEYLE;1306;1;726;55;;
PORT;1307;1;367;10;;
POUGNY;1308;1;144;15;;
POUILLAT;1309;1;33;;;
PREMEYZEL;1310;1;200;;;
PREMILLIEU;1311;1;;;;
PREVESSIN-MOENS;1313;1;1683;69;61;8
PRIAY;1314;1;871;17;;
RAMASSE;1317;1;132;;;
RANCE;1318;1;337;;;
RELEVANT;1319;1;189;;;
REPLONGES;1320;1;1659;48;;
REVONNAS;1321;1;453;;;
REYRIEUX;1322;1;2277;24;;
REYSSOUZE;1323;1;474;25;20;5
RIGNIEUX-LE-FRANC;1325;1;459;9;;
ROMANS;1328;1;258;13;;
ROSSILLON;1329;1;52;;;
RUFFIEU;1330;1;40;6;;
SAINT-ALBAN;1331;1;63;;;
SAINT-ANDRE-DE-BAGE;1332;1;363;8;;
SAINT-ANDRE-DE-CORCY;1333;1;1524;26;;
SAINT-ANDRE-D'HUIRIAT;1334;1;276;;;
SAINT-ANDRE-LE-BOUCHOUX;1335;1;207;;;
SAINT-ANDRE-SUR-VIEUX-JONC;1336;1;518;20;14;6
SAINT-BENIGNE;1337;1;563;27;18;9
GROSLEE-SAINT-BENOIT;1338;1;531;10;;
SAINT-BERNARD;1339;1;548;;;
SAINT-CHAMP;1341;1;50;;;
SAINTE-CROIX;1342;1;255;;;
SAINT-CYR-SUR-MENTHON;1343;1;854;16;;
SAINT-DENIS-LES-BOURG;1344;1;2460;130;102;28
SAINT-DENIS-EN-BUGEY;1345;1;973;32;26;6
SAINT-DIDIER-D'AUSSIAT;1346;1;368;10;;
SAINT-DIDIER-DE-FORMANS;1347;1;878;17;11;6
SAINT-DIDIER-SUR-CHALARONNE;1348;1;1276;41;32;9
SAINT-ELOI;1349;1;168;;;
SAINT-ETIENNE-DU-BOIS;1350;1;1006;39;33;6
SAINT-ETIENNE-SUR-CHALARONNE;1351;1;858;49;;
SAINT-ETIENNE-SUR-REYSSOUZE;1352;1;244;15;9;6
SAINTE-EUPHEMIE;1353;1;831;12;;
SAINT-GENIS-POUILLY;1354;1;3127;282;247;35
SAINT-GENIS-SUR-MENTHON;1355;1;214;7;;
SAINT-GEORGES-SUR-RENON;1356;1;99;;;
SAINT-GERMAIN-DE-JOUX;1357;1;210;5;;
SAINT-GERMAIN-LES-PAROISSES;1358;1;168;17;12;5
SAINT-GERMAIN-SUR-RENON;1359;1;91;;;
SAINT-JEAN-DE-GONVILLE;1360;1;360;10;;
SAINT-JEAN-DE-NIOST;1361;1;709;;;
SAINT-JEAN-DE-THURIGNEUX;1362;1;426;;;
SAINT-JEAN-LE-VIEUX;1363;1;807;15;8;7
SAINT-JEAN-SUR-REYSSOUZE;1364;1;313;11;;
SAINT-JEAN-SUR-VEYLE;1365;1;507;15;;
SAINTE-JULIE;1366;1;552;5;;
SAINT-JULIEN-SUR-REYSSOUZE;1367;1;320;36;26;10
SAINT-JULIEN-SUR-VEYLE;1368;1;392;7;;
SAINT-JUST;1369;1;361;6;;
SAINT-LAURENT-SUR-SAONE;1370;1;822;118;95;23
SAINT-MARCEL;1371;1;572;10;;
SAINT-MARTIN-DE-BAVEL;1372;1;149;;;
SAINT-MARTIN-DU-FRENE;1373;1;415;31;;
SAINT-MARTIN-DU-MONT;1374;1;806;16;;
SAINT-MARTIN-LE-CHATEL;1375;1;339;7;;
SAINT-MAURICE-DE-BEYNOST;1376;1;1981;112;75;37
SAINT-MAURICE-DE-GOURDANS;1378;1;1176;25;;
SAINT-MAURICE-DE-REMENS;1379;1;414;8;;
SAINT-NIZIER-LE-BOUCHOUX;1380;1;241;13;8;5
SAINT-NIZIER-LE-DESERT;1381;1;495;5;;
SAINTE-OLIVE;1382;1;93;;;
SAINT-PAUL-DE-VARAX;1383;1;846;30;19;11
SAINT-RAMBERT-EN-BUGEY;1384;1;1201;187;155;32
SAINT-REMY;1385;1;361;6;;
SAINT-SORLIN-EN-BUGEY;1386;1;487;14;;
SAINT-SULPICE;1387;1;142;;;
SAINT-TRIVIER-DE-COURTES;1388;1;384;43;28;15
SAINT-TRIVIER-SUR-MOIGNANS;1389;1;845;18;13;5
SAINT-VULBAS;1390;1;607;7;;
SALAVRE;1391;1;76;;;
SAMOGNAT;1392;1;284;6;;
SANDRANS;1393;1;262;;;
SAULT-BRENAZ;1396;1;423;33;27;6
SAUVERNY;1397;1;201;10;;
SAVIGNEUX;1398;1;688;6;;
SEGNY;1399;1;375;19;;
SEILLONNAZ;1400;1;50;10;;
SERGY;1401;1;406;;;
SERMOYER;1402;1;269;14;;
SERRIERES-DE-BRIORD;1403;1;637;37;23;14
SERRIERES-SUR-AIN;1404;1;37;6;;
SERVAS;1405;1;696;33;28;5
SERVIGNAT;1406;1;56;;;
SEYSSEL;1407;1;421;51;39;12
SIMANDRE-SUR-SURAN;1408;1;282;33;;
SONTHONNAX-LA-MONTAGNE;1410;1;119;;;
SOUCLIN;1411;1;115;;;
SULIGNAT;1412;1;248;;;
SURJOUX;1413;1;19;;;
SUTRIEU;1414;1;53;;;
TALISSIEU;1415;1;191;;;
TENAY;1416;1;464;62;54;8
THEZILLIEU;1417;1;112;;;
THIL;1418;1;468;;;
THOIRY;1419;1;1206;77;60;17
THOISSEY;1420;1;732;69;55;14
TORCIEU;1421;1;333;10;;
TOSSIAT;1422;1;574;29;18;11
TOUSSIEUX;1423;1;579;;;
TRAMOYES;1424;1;711;;;
LA TRANCLIERE;1425;1;93;;;
VAL-REVERMONT;1426;1;1100;25;16;9
TREVOUX;1427;1;3587;162;133;29
VALEINS;1428;1;74;;;
VANDEINS;1429;1;321;22;13;9
VARAMBON;1430;1;278;9;;
VAUX-EN-BUGEY;1431;1;550;7;;
VERJON;1432;1;130;12;;
VERNOUX;1433;1;177;5;;
VERSAILLEUX;1434;1;226;9;;
VERSONNEX;1435;1;439;14;;
VESANCY;1436;1;87;8;;
VESCOURS;1437;1;114;;;
VESINES;1439;1;31;;;
VIEU-D'IZENAVE;1441;1;346;5;;
VIEU;1442;1;122;;;
VILLARS-LES-DOMBES;1443;1;2174;66;55;11
VILLEBOIS;1444;1;516;12;;
VILLEMOTIER;1445;1;307;8;;
VILLENEUVE;1446;1;700;;;
VILLEREVERSURE;1447;1;606;28;23;5
VILLES;1448;1;119;;;
VILLETTE-SUR-AIN;1449;1;389;8;;
VILLIEU-LOYES-MOLLON;1450;1;1815;33;27;6
VIRIAT;1451;1;2965;133;95;38
VIRIEU-LE-GRAND;1452;1;576;59;40;19
VIRIEU-LE-PETIT;1453;1;154;;;
VIRIGNIN;1454;1;564;7;;
VONGNES;1456;1;;;;
VONNAS;1457;1;1442;75;60;15
ABBECOURT;2001;2;228;11;;
ACHERY;2002;2;298;26;;
ACY;2003;2;447;13;8;5
AGNICOURT-ET-SECHELLES;2004;2;73;7;;
AGUILCOURT;2005;2;156;;;
AISONVILLE-ET-BERNOVILLE;2006;2;121;28;;
AIZELLES;2007;2;41;;;
AIZY-JOUY;2008;2;157;8;;
ALAINCOURT;2009;2;275;33;;
ALLEMANT;2010;2;101;5;;
AMBLENY;2011;2;454;15;8;7
AMBRIEF;2012;2;34;;;
AMIFONTAINE;2013;2;147;6;;
AMIGNY-ROUY;2014;2;349;25;17;8
ANCIENVILLE;2015;2;26;;;
ANDELAIN;2016;2;101;;;
ANGUILCOURT-LE-SART;2017;2;148;26;21;5
ANIZY-LE-CHATEAU;2018;2;963;143;108;35
ANNOIS;2019;2;134;11;;
ANY-MARTIN-RIEUX;2020;2;209;21;;
ARCHON;2021;2;22;;;
ARCY-SAINTE-RESTITUE;2022;2;175;;;
ARMENTIERES-SUR-OURCQ;2023;2;35;;;
ARRANCY;2024;2;23;;;
ARTEMPS;2025;2;170;9;;
ASSIS-SUR-SERRE;2027;2;63;6;;
ATHIES-SOUS-LAON;2028;2;1121;72;67;5
ATTILLY;2029;2;149;5;;
AUBENCHEUL-AUX-BOIS;2030;2;104;;;
AUBENTON;2031;2;319;69;64;5
AUBIGNY-AUX-KAISNES;2032;2;115;8;;
AUBIGNY-EN-LAONNOIS;2033;2;35;;;
AUDIGNICOURT;2034;2;48;;;
AUDIGNY;2035;2;166;34;26;8
AUGY;2036;2;42;;;
AULNOIS-SOUS-LAON;2037;2;698;41;34;7
LES AUTELS;2038;2;21;;;
AUTREMENCOURT;2039;2;52;6;;
AUTREPPES;2040;2;95;;;
AUTREVILLE;2041;2;369;23;;
AZY-SUR-MARNE;2042;2;117;16;;
BAGNEUX;2043;2;29;;;
BANCIGNY;2044;2;5;;;
BARENTON-BUGNY;2046;2;237;9;;
BARENTON-CEL;2047;2;36;;;
BARENTON-SUR-SERRE;2048;2;70;;;
BARISIS-AUX-BOIS;2049;2;306;21;15;6
BARZY-EN-THIERACHE;2050;2;142;;;
BARZY-SUR-MARNE;2051;2;137;13;;
BASSOLES-AULERS;2052;2;49;;;
VALLEES EN CHAMPAGNE;2053;2;160;;;
BAZOCHES-SUR-VESLES;2054;2;233;8;;
BEAUME;2055;2;23;;;
BEAUMONT-EN-BEINE;2056;2;72;;;
BEAUREVOIR;2057;2;736;99;87;12
BEAURIEUX;2058;2;447;44;;
BEAUTOR;2059;2;1503;381;299;82
BEAUVOIS-EN-VERMANDOIS;2060;2;86;;;
BECQUIGNY;2061;2;148;26;18;8
BELLEAU;2062;2;54;7;;
BELLENGLISE;2063;2;200;16;;
BELLEU;2064;2;1700;187;155;32
BELLICOURT;2065;2;295;47;37;10
BENAY;2066;2;78;;;
BERGUES-SUR-SAMBRE;2067;2;66;;;
BERLANCOURT;2068;2;40;;;
BERLISE;2069;2;51;14;7;7
BERNOT;2070;2;210;18;;
BERNY-RIVIERE;2071;2;272;11;;
BERRIEUX;2072;2;74;;;
BERRY-AU-BAC;2073;2;291;20;13;7
BERTAUCOURT-EPOURDON;2074;2;309;14;;
BERTHENICOURT;2075;2;91;7;;
BERTRICOURT;2076;2;71;5;;
BERZY-LE-SEC;2077;2;158;8;;
BESME;2078;2;88;10;;
BESMONT;2079;2;40;;;
BESNY-ET-LOIZY;2080;2;116;7;;
BETHANCOURT-EN-VAUX;2081;2;220;;;
BEUGNEUX;2082;2;52;;;
BEUVARDES;2083;2;336;12;;
BEZU-LE-GUERY;2084;2;106;;;
BEZU-SAINT-GERMAIN;2085;2;573;14;;
BICHANCOURT;2086;2;466;44;32;12
BIEUXY;2087;2;15;;;
BIEVRES;2088;2;30;;;
BILLY-SUR-AISNE;2089;2;448;16;;
BILLY-SUR-OURCQ;2090;2;109;;;
BLANZY-LES-FISMES;2091;2;22;;;
BLERANCOURT;2093;2;650;106;77;29
BLESMES;2094;2;203;;;
BOHAIN-EN-VERMANDOIS;2095;2;3505;1003;784;219
BOIS-LES-PARGNY;2096;2;87;6;;
BONCOURT;2097;2;105;;;
BONNEIL;2098;2;136;7;;
BONNESVALYN;2099;2;115;;;
BONY;2100;2;72;14;;
BOSMONT-SUR-SERRE;2101;2;76;9;;
BOUCONVILLE-VAUCLAIR;2102;2;71;;;
BOUE;2103;2;667;105;85;20
BOUFFIGNEREUX;2104;2;36;;;
BOURESCHES;2105;2;77;;;
BOURG-ET-COMIN;2106;2;406;54;43;11
BOURGUIGNON-SOUS-COUCY;2107;2;40;6;;
BOURGUIGNON-SOUS-MONTBAVIN;2108;2;76;;;
LA BOUTEILLE;2109;2;224;39;29;10
BRAINE;2110;2;1073;144;112;32
BRANCOURT-EN-LAONNOIS;2111;2;343;36;25;11
BRANCOURT-LE-GRAND;2112;2;227;6;;
BRASLES;2114;2;639;34;24;10
BRAYE-EN-LAONNOIS;2115;2;64;;;
BRAYE-EN-THIERACHE;2116;2;56;;;
BRAY-SAINT-CHRISTOPHE;2117;2;29;;;
BRAYE;2118;2;47;;;
BRECY;2119;2;124;5;;
BRENELLE;2120;2;84;;;
BRENY;2121;2;118;7;;
BRIE;2122;2;8;;;
BRISSAY-CHOIGNY;2123;2;128;;;
BRISSY-HAMEGICOURT;2124;2;296;17;;
BRUMETZ;2125;2;93;;;
BRUNEHAMEL;2126;2;235;57;50;7
BRUYERES-SUR-FERE;2127;2;60;6;;
BRUYERES-ET-MONTBERAULT;2128;2;627;52;46;6
BRUYS;2129;2;;;;
BUCILLY;2130;2;87;6;;
BUCY-LE-LONG;2131;2;807;45;;
BUCY-LES-CERNY;2132;2;92;10;;
BUCY-LES-PIERREPONT;2133;2;189;23;12;11
BUIRE;2134;2;377;41;29;12
BUIRONFOSSE;2135;2;583;71;;
BURELLES;2136;2;48;;;
BUSSIARES;2137;2;80;;;
BUZANCY;2138;2;80;;;
CAILLOUEL-CREPIGNY;2139;2;218;12;;
CAMELIN;2140;2;245;22;10;12
LA CAPELLE;2141;2;869;143;118;25
CASTRES;2142;2;112;5;;
LE CATELET;2143;2;92;;;
CAULAINCOURT;2144;2;72;;;
CAUMONT;2145;2;285;;;
CELLES-LES-CONDE;2146;2;27;;;
CELLES-SUR-AISNE;2148;2;125;;;
CERIZY;2149;2;31;;;
CERNY-EN-LAONNOIS;2150;2;32;;;
CERNY-LES-BUCY;2151;2;37;;;
CERSEUIL;2152;2;16;;;
CESSIERES;2153;2;217;5;;
CHACRISE;2154;2;172;14;;
CHAILLEVOIS;2155;2;80;5;;
CHALANDRY;2156;2;119;8;;
CHAMBRY;2157;2;336;26;16;10
CHAMOUILLE;2158;2;151;26;19;7
CHAMPS;2159;2;135;;;
CHAOURSE;2160;2;279;34;27;7
LA CHAPELLE-SUR-CHEZY;2162;2;167;13;;
CHARLY-SUR-MARNE;2163;2;1235;137;106;31
LE CHARMEL;2164;2;131;;;
CHARMES;2165;2;781;77;61;16
CHARTEVES;2166;2;129;;;
CHASSEMY;2167;2;433;27;;
CHATEAU-THIERRY;2168;2;8757;1346;1029;317
CHATILLON-LES-SONS;2169;2;34;;;
CHATILLON-SUR-OISE;2170;2;61;10;;
CHAUDARDES;2171;2;37;;;
CHAUDUN;2172;2;113;;;
CHAUNY;2173;2;6833;1514;1210;304
CHAVIGNON;2174;2;423;11;;
CHAVIGNY;2175;2;60;;;
CHAVONNE;2176;2;109;;;
CHERET;2177;2;59;11;;
CHERMIZY-AILLES;2178;2;44;;;
CHERY-CHARTREUVE;2179;2;157;;;
CHERY-LES-POUILLY;2180;2;372;21;;
CHERY-LES-ROZOY;2181;2;51;7;;
CHEVENNES;2182;2;61;;;
CHEVREGNY;2183;2;85;;;
CHEVRESIS-MONCEAU;2184;2;177;6;;
CHEZY-EN-ORXOIS;2185;2;175;7;;
CHEZY-SUR-MARNE;2186;2;477;20;;
CHIERRY;2187;2;391;16;;
CHIGNY;2188;2;41;8;;
CHIVRES-EN-LAONNOIS;2189;2;157;9;;
CHIVRES-VAL;2190;2;214;8;;
CHIVY-LES-ETOUVELLES;2191;2;176;6;;
CHOUY;2192;2;174;7;;
CIERGES;2193;2;24;;;
CILLY;2194;2;61;;;
CIRY-SALSOGNE;2195;2;440;5;;
CLACY-ET-THIERRET;2196;2;95;7;;
CLAIRFONTAINE;2197;2;215;7;;
CLAMECY;2198;2;91;5;;
CLASTRES;2199;2;335;11;5;6
CLERMONT-LES-FERMES;2200;2;34;6;;
C�UVRES-ET-VALSERY;2201;2;161;;;
COINCY;2203;2;682;130;104;26
COINGT;2204;2;24;;;
COLLIGIS-CRANDELAIN;2205;2;95;9;;
COLONFAY;2206;2;36;7;;
COMMENCHON;2207;2;120;7;;
CONCEVREUX;2208;2;107;;;
CONDE-EN-BRIE;2209;2;333;23;;
CONDE-SUR-AISNE;2210;2;167;;;
CONDE-SUR-SUIPPE;2211;2;139;;;
CONDREN;2212;2;274;23;;
CONNIGIS;2213;2;133;9;;
CONTESCOURT;2214;2;23;;;
CORBENY;2215;2;365;23;14;9
CORCY;2216;2;117;;;
COUCY-LE-CHATEAU-AUFFRIQUE;2217;2;498;53;48;5
COUCY-LES-EPPES;2218;2;300;12;6;6
COUCY-LA-VILLE;2219;2;96;;;
COULONGES-COHAN;2220;2;180;;;
COUPRU;2221;2;84;;;
COURBES;2222;2;24;;;
COURBOIN;2223;2;142;16;10;6
COURCELLES-SUR-VESLE;2224;2;174;23;;
COURCHAMPS;2225;2;41;6;;
COURMELLES;2226;2;814;40;30;10
COURMONT;2227;2;45;;;
COURTEMONT-VARENNES;2228;2;139;11;;
COURTRIZY-ET-FUSSIGNY;2229;2;27;;;
COUVRELLES;2230;2;72;;;
COUVRON-ET-AUMENCOURT;2231;2;579;34;22;12
